Brand,Model,Price_EUR,Gender,Range_km_claimed,Top_Speed_kmh,Where_to_buy,Source,Version,Model_Year,Range_km_verified,Battery_V,Battery_Ah,Battery_Wh,Motor_Power_W_EU,Torque_Nm,Wheel_Size,Tire_Size,Weight_kg,Payload_kg,Frame,Brakes,Notes,Description_NL
SUPER73,S2,3499,Unisex,64–120,25,https://eu.super73.com/products/super73-s2-bone-white,eu.super73.com,,,110.0,48.0,20.0,960.0,250.0,,,,,,,,EU EPAC; hydraulische remmen; BDGR 20x4.5/5.0 banden,"# SUPER73 S2 — Fat-tire e-bike (960.0 Wh, 25 km/u)

**Kort overzicht**  
Voorzien van een naafmotor (250 W (EU)) voor vlotte stads- en recreatieritten. De geïntegreerde accu is 960.0 Wh (48.0 V, 20.0 Ah). Realistische actieradius (opgave): tot ~110 km onder gunstige omstandigheden. EU-topsnelheid: 25 km/u (pedelec).

## Highlights
- **Soepele aandrijving:** naafmotor (250 W (EU)) met EU-begrenzing.
- **Energiepakket:** 960.0 Wh (48.0 V / 20.0 Ah).
- **Actieradius:** tot ~110 km (conditie-afhankelijk).
- **Bijzonderheden:** EU EPAC; hydraulische remmen; BDGR 20x4.5/5.0 banden.

## Specificaties
**E-systeem**
- Motor: naafmotor (250 W (EU))
- Accu: 960.0 Wh (48.0 V / 20.0 Ah)
- Ondersteuning: tot 25 km/u (EU)

## Prijs & beschikbaarheid (EU)
- Richtprijs (EU): €3.499

## Actieradius
**Actieradius:** tot ~110 km (opgave; afhankelijk van stand/weer/terrein/belasting).

## Wettelijke noot (NL/EU)
Deze fiets is een **pedelec** voor NL/EU: ondersteuning tot **25 km/u**, **max. 250 W** continu, **geen gashendel > 6 km/u**.

## Filters (voor jullie e-bike categorie)
- **Merk:** SUPER73
- **Model + versie:** SUPER73 S2
- **Prijs:** €3.499
- **Actieradius:** ~110 km (opgave)
- **Accucapaciteit:** 960.0 Wh
- **Topsnelheid:** 25 km/u (EU)
- **Heren/Dames:** Unisex

## Links
- **Waar te koop:** https://eu.super73.com/products/super73-s2-bone-white
- **Bron(nen):** eu.super73.com"
SUPER73,ZX,2799,Unisex,—,25,https://eu.super73.com/products/super73-zx-copy,eu.super73.com,,,60.0,48.0,10.0,480.0,250.0,,,,,,,,EU EPAC; Trooper 20x4 banden,"# SUPER73 ZX — Fat-tire e-bike (480.0 Wh, 25 km/u)

**Kort overzicht**  
Voorzien van een naafmotor (250 W (EU)) voor vlotte stads- en recreatieritten. De geïntegreerde accu is 480.0 Wh (48.0 V, 10.0 Ah). Realistische actieradius (opgave): tot ~60 km onder gunstige omstandigheden. EU-topsnelheid: 25 km/u (pedelec).

## Highlights
- **Soepele aandrijving:** naafmotor (250 W (EU)) met EU-begrenzing.
- **Energiepakket:** 480.0 Wh (48.0 V / 10.0 Ah).
- **Actieradius:** tot ~60 km (conditie-afhankelijk).
- **Bijzonderheden:** EU EPAC; Trooper 20x4 banden.

## Specificaties
**E-systeem**
- Motor: naafmotor (250 W (EU))
- Accu: 480.0 Wh (48.0 V / 10.0 Ah)
- Ondersteuning: tot 25 km/u (EU)

## Prijs & beschikbaarheid (EU)
- Richtprijs (EU): €2.799

## Actieradius
**Actieradius:** tot ~60 km (opgave; afhankelijk van stand/weer/terrein/belasting).

## Wettelijke noot (NL/EU)
Deze fiets is een **pedelec** voor NL/EU: ondersteuning tot **25 km/u**, **max. 250 W** continu, **geen gashendel > 6 km/u**.

## Filters (voor jullie e-bike categorie)
- **Merk:** SUPER73
- **Model + versie:** SUPER73 ZX
- **Prijs:** €2.799
- **Actieradius:** ~60 km (opgave)
- **Accucapaciteit:** 480.0 Wh
- **Topsnelheid:** 25 km/u (EU)
- **Heren/Dames:** Unisex

## Links
- **Waar te koop:** https://eu.super73.com/products/super73-zx-copy
- **Bron(nen):** eu.super73.com"
Knaap,AMS X (Black),2299,Unisex,Up to 100,25,https://knaapbikes.com/shop/,knaapbikes.com,,,,,,,,,,,,,,,,"# Knaap AMS X (Black) — Fat-tire e-bike (25 km/u)

**Kort overzicht**  
Fabrikant/retailer claimt tot ~Up to 100 km; praktijk hangt af van terrein, temperatuur, bandenspanning en rijstijl. EU-topsnelheid: 25 km/u (pedelec).

## Highlights
- **Actieradius (claim):** tot ~Up to 100 km (ideale omstandigheden).

## Specificaties
**E-systeem**
- Ondersteuning: tot 25 km/u (EU)

## Prijs & beschikbaarheid (EU)
- Richtprijs (EU): €2.299

## Actieradius
**Actieradius (claim):** tot ~Up to 100 km (ideale omstandigheden; praktijk varieert).

## Wettelijke noot (NL/EU)
Deze fiets is een **pedelec** voor NL/EU: ondersteuning tot **25 km/u**, **max. 250 W** continu, **geen gashendel > 6 km/u**.

## Filters (voor jullie e-bike categorie)
- **Merk:** Knaap
- **Model + versie:** Knaap AMS X (Black)
- **Prijs:** €2.299
- **Actieradius:** ~Up to 100 km (claim)
- **Topsnelheid:** 25 km/u (EU)
- **Heren/Dames:** Unisex

## Links
- **Waar te koop:** https://knaapbikes.com/shop/
- **Bron(nen):** knaapbikes.com"
Knaap,AMS X (Ice Blue),2299,Unisex,Up to 100,25,https://knaapbikes.com/shop/,knaapbikes.com,,,,,,,,,,,,,,,,"# Knaap AMS X (Ice Blue) — Fat-tire e-bike (25 km/u)

**Kort overzicht**  
Fabrikant/retailer claimt tot ~Up to 100 km; praktijk hangt af van terrein, temperatuur, bandenspanning en rijstijl. EU-topsnelheid: 25 km/u (pedelec).

## Highlights
- **Actieradius (claim):** tot ~Up to 100 km (ideale omstandigheden).

## Specificaties
**E-systeem**
- Ondersteuning: tot 25 km/u (EU)

## Prijs & beschikbaarheid (EU)
- Richtprijs (EU): €2.299

## Actieradius
**Actieradius (claim):** tot ~Up to 100 km (ideale omstandigheden; praktijk varieert).

## Wettelijke noot (NL/EU)
Deze fiets is een **pedelec** voor NL/EU: ondersteuning tot **25 km/u**, **max. 250 W** continu, **geen gashendel > 6 km/u**.

## Filters (voor jullie e-bike categorie)
- **Merk:** Knaap
- **Model + versie:** Knaap AMS X (Ice Blue)
- **Prijs:** €2.299
- **Actieradius:** ~Up to 100 km (claim)
- **Topsnelheid:** 25 km/u (EU)
- **Heren/Dames:** Unisex

## Links
- **Waar te koop:** https://knaapbikes.com/shop/
- **Bron(nen):** knaapbikes.com"
Knaap,RTD X,2899,Unisex,—,25,https://knaapbikes.com/shop/,knaapbikes.com,,,100.0,36.0,20.0,720.0,250.0,,,,,,,,ANANDA achternaaf; Shimano 7sp; hydraulische remmen,"# Knaap RTD X — Fat-tire e-bike (720.0 Wh, 25 km/u)

**Kort overzicht**  
Voorzien van een naafmotor (250 W (EU)) voor vlotte stads- en recreatieritten. De geïntegreerde accu is 720.0 Wh (36.0 V, 20.0 Ah). Realistische actieradius (opgave): tot ~100 km onder gunstige omstandigheden. EU-topsnelheid: 25 km/u (pedelec).

## Highlights
- **Soepele aandrijving:** naafmotor (250 W (EU)) met EU-begrenzing.
- **Energiepakket:** 720.0 Wh (36.0 V / 20.0 Ah).
- **Actieradius:** tot ~100 km (conditie-afhankelijk).
- **Bijzonderheden:** ANANDA achternaaf; Shimano 7sp; hydraulische remmen.

## Specificaties
**E-systeem**
- Motor: naafmotor (250 W (EU))
- Accu: 720.0 Wh (36.0 V / 20.0 Ah)
- Ondersteuning: tot 25 km/u (EU)

## Prijs & beschikbaarheid (EU)
- Richtprijs (EU): €2.899

## Actieradius
**Actieradius:** tot ~100 km (opgave; afhankelijk van stand/weer/terrein/belasting).

## Wettelijke noot (NL/EU)
Deze fiets is een **pedelec** voor NL/EU: ondersteuning tot **25 km/u**, **max. 250 W** continu, **geen gashendel > 6 km/u**.

## Filters (voor jullie e-bike categorie)
- **Merk:** Knaap
- **Model + versie:** Knaap RTD X
- **Prijs:** €2.899
- **Actieradius:** ~100 km (opgave)
- **Accucapaciteit:** 720.0 Wh
- **Topsnelheid:** 25 km/u (EU)
- **Heren/Dames:** Unisex

## Links
- **Waar te koop:** https://knaapbikes.com/shop/
- **Bron(nen):** knaapbikes.com"
Knaap,LON (Black),2549,Unisex,—,25,https://knaapbikes.com/shop/,knaapbikes.com,,,,,,,,,,,,,,,,"# Knaap LON (Black) — Fat-tire e-bike (25 km/u)

**Kort overzicht**  
Fabrikant/retailer claimt tot ~— km; praktijk hangt af van terrein, temperatuur, bandenspanning en rijstijl. EU-topsnelheid: 25 km/u (pedelec).

## Highlights
- **Actieradius (claim):** tot ~— km (ideale omstandigheden).

## Specificaties
**E-systeem**
- Ondersteuning: tot 25 km/u (EU)

## Prijs & beschikbaarheid (EU)
- Richtprijs (EU): €2.549

## Actieradius
**Actieradius (claim):** tot ~— km (ideale omstandigheden; praktijk varieert).

## Wettelijke noot (NL/EU)
Deze fiets is een **pedelec** voor NL/EU: ondersteuning tot **25 km/u**, **max. 250 W** continu, **geen gashendel > 6 km/u**.

## Filters (voor jullie e-bike categorie)
- **Merk:** Knaap
- **Model + versie:** Knaap LON (Black)
- **Prijs:** €2.549
- **Actieradius:** ~— km (claim)
- **Topsnelheid:** 25 km/u (EU)
- **Heren/Dames:** Unisex

## Links
- **Waar te koop:** https://knaapbikes.com/shop/
- **Bron(nen):** knaapbikes.com"
Knaap,LON (Sand),2549,Unisex,—,25,https://knaapbikes.com/shop/,knaapbikes.com,,,,,,,,,,,,,,,,"# Knaap LON (Sand) — Fat-tire e-bike (25 km/u)

**Kort overzicht**  
Fabrikant/retailer claimt tot ~— km; praktijk hangt af van terrein, temperatuur, bandenspanning en rijstijl. EU-topsnelheid: 25 km/u (pedelec).

## Highlights
- **Actieradius (claim):** tot ~— km (ideale omstandigheden).

## Specificaties
**E-systeem**
- Ondersteuning: tot 25 km/u (EU)

## Prijs & beschikbaarheid (EU)
- Richtprijs (EU): €2.549

## Actieradius
**Actieradius (claim):** tot ~— km (ideale omstandigheden; praktijk varieert).

## Wettelijke noot (NL/EU)
Deze fiets is een **pedelec** voor NL/EU: ondersteuning tot **25 km/u**, **max. 250 W** continu, **geen gashendel > 6 km/u**.

## Filters (voor jullie e-bike categorie)
- **Merk:** Knaap
- **Model + versie:** Knaap LON (Sand)
- **Prijs:** €2.549
- **Actieradius:** ~— km (claim)
- **Topsnelheid:** 25 km/u (EU)
- **Heren/Dames:** Unisex

## Links
- **Waar te koop:** https://knaapbikes.com/shop/
- **Bron(nen):** knaapbikes.com"
Knaap,BCN (Black),2549,Unisex,—,25,https://knaapbikes.com/shop/,knaapbikes.com,,,,,,,,,,,,,,,,"# Knaap BCN (Black) — Fat-tire e-bike (25 km/u)

**Kort overzicht**  
Fabrikant/retailer claimt tot ~— km; praktijk hangt af van terrein, temperatuur, bandenspanning en rijstijl. EU-topsnelheid: 25 km/u (pedelec).

## Highlights
- **Actieradius (claim):** tot ~— km (ideale omstandigheden).

## Specificaties
**E-systeem**
- Ondersteuning: tot 25 km/u (EU)

## Prijs & beschikbaarheid (EU)
- Richtprijs (EU): €2.549

## Actieradius
**Actieradius (claim):** tot ~— km (ideale omstandigheden; praktijk varieert).

## Wettelijke noot (NL/EU)
Deze fiets is een **pedelec** voor NL/EU: ondersteuning tot **25 km/u**, **max. 250 W** continu, **geen gashendel > 6 km/u**.

## Filters (voor jullie e-bike categorie)
- **Merk:** Knaap
- **Model + versie:** Knaap BCN (Black)
- **Prijs:** €2.549
- **Actieradius:** ~— km (claim)
- **Topsnelheid:** 25 km/u (EU)
- **Heren/Dames:** Unisex

## Links
- **Waar te koop:** https://knaapbikes.com/shop/
- **Bron(nen):** knaapbikes.com"
Knaap,BCN (Deep Green),2549,Unisex,—,25,https://knaapbikes.com/shop/,knaapbikes.com,,,,,,,,,,,,,,,,"# Knaap BCN (Deep Green) — Fat-tire e-bike (25 km/u)

**Kort overzicht**  
Fabrikant/retailer claimt tot ~— km; praktijk hangt af van terrein, temperatuur, bandenspanning en rijstijl. EU-topsnelheid: 25 km/u (pedelec).

## Highlights
- **Actieradius (claim):** tot ~— km (ideale omstandigheden).

## Specificaties
**E-systeem**
- Ondersteuning: tot 25 km/u (EU)

## Prijs & beschikbaarheid (EU)
- Richtprijs (EU): €2.549

## Actieradius
**Actieradius (claim):** tot ~— km (ideale omstandigheden; praktijk varieert).

## Wettelijke noot (NL/EU)
Deze fiets is een **pedelec** voor NL/EU: ondersteuning tot **25 km/u**, **max. 250 W** continu, **geen gashendel > 6 km/u**.

## Filters (voor jullie e-bike categorie)
- **Merk:** Knaap
- **Model + versie:** Knaap BCN (Deep Green)
- **Prijs:** €2.549
- **Actieradius:** ~— km (claim)
- **Topsnelheid:** 25 km/u (EU)
- **Heren/Dames:** Unisex

## Links
- **Waar te koop:** https://knaapbikes.com/shop/
- **Bron(nen):** knaapbikes.com"
Knaap,NYC,3199,Unisex,—,25,https://knaapbikes.com/shop/,knaapbikes.com,,,100.0,36.0,20.0,720.0,250.0,,,,,,,,ANANDA achternaaf; Shimano 7sp; hydraulische remmen,"# Knaap NYC — Fat-tire e-bike (720.0 Wh, 25 km/u)

**Kort overzicht**  
Voorzien van een naafmotor (250 W (EU)) voor vlotte stads- en recreatieritten. De geïntegreerde accu is 720.0 Wh (36.0 V, 20.0 Ah). Realistische actieradius (opgave): tot ~100 km onder gunstige omstandigheden. EU-topsnelheid: 25 km/u (pedelec).

## Highlights
- **Soepele aandrijving:** naafmotor (250 W (EU)) met EU-begrenzing.
- **Energiepakket:** 720.0 Wh (36.0 V / 20.0 Ah).
- **Actieradius:** tot ~100 km (conditie-afhankelijk).
- **Bijzonderheden:** ANANDA achternaaf; Shimano 7sp; hydraulische remmen.

## Specificaties
**E-systeem**
- Motor: naafmotor (250 W (EU))
- Accu: 720.0 Wh (36.0 V / 20.0 Ah)
- Ondersteuning: tot 25 km/u (EU)

## Prijs & beschikbaarheid (EU)
- Richtprijs (EU): €3.199

## Actieradius
**Actieradius:** tot ~100 km (opgave; afhankelijk van stand/weer/terrein/belasting).

## Wettelijke noot (NL/EU)
Deze fiets is een **pedelec** voor NL/EU: ondersteuning tot **25 km/u**, **max. 250 W** continu, **geen gashendel > 6 km/u**.

## Filters (voor jullie e-bike categorie)
- **Merk:** Knaap
- **Model + versie:** Knaap NYC
- **Prijs:** €3.199
- **Actieradius:** ~100 km (opgave)
- **Accucapaciteit:** 720.0 Wh
- **Topsnelheid:** 25 km/u (EU)
- **Heren/Dames:** Unisex

## Links
- **Waar te koop:** https://knaapbikes.com/shop/
- **Bron(nen):** knaapbikes.com"
Knaap,LAX,3199,Unisex,—,25,https://knaapbikes.com/shop/,knaapbikes.com,,,100.0,36.0,20.0,720.0,250.0,,,,,,,,ANANDA achternaaf; Shimano 7sp; hydraulische remmen,"# Knaap LAX — Fat-tire e-bike (720.0 Wh, 25 km/u)

**Kort overzicht**  
Voorzien van een naafmotor (250 W (EU)) voor vlotte stads- en recreatieritten. De geïntegreerde accu is 720.0 Wh (36.0 V, 20.0 Ah). Realistische actieradius (opgave): tot ~100 km onder gunstige omstandigheden. EU-topsnelheid: 25 km/u (pedelec).

## Highlights
- **Soepele aandrijving:** naafmotor (250 W (EU)) met EU-begrenzing.
- **Energiepakket:** 720.0 Wh (36.0 V / 20.0 Ah).
- **Actieradius:** tot ~100 km (conditie-afhankelijk).
- **Bijzonderheden:** ANANDA achternaaf; Shimano 7sp; hydraulische remmen.

## Specificaties
**E-systeem**
- Motor: naafmotor (250 W (EU))
- Accu: 720.0 Wh (36.0 V / 20.0 Ah)
- Ondersteuning: tot 25 km/u (EU)

## Prijs & beschikbaarheid (EU)
- Richtprijs (EU): €3.199

## Actieradius
**Actieradius:** tot ~100 km (opgave; afhankelijk van stand/weer/terrein/belasting).

## Wettelijke noot (NL/EU)
Deze fiets is een **pedelec** voor NL/EU: ondersteuning tot **25 km/u**, **max. 250 W** continu, **geen gashendel > 6 km/u**.

## Filters (voor jullie e-bike categorie)
- **Merk:** Knaap
- **Model + versie:** Knaap LAX
- **Prijs:** €3.199
- **Actieradius:** ~100 km (opgave)
- **Accucapaciteit:** 720.0 Wh
- **Topsnelheid:** 25 km/u (EU)
- **Heren/Dames:** Unisex

## Links
- **Waar te koop:** https://knaapbikes.com/shop/
- **Bron(nen):** knaapbikes.com"
Phatfour,FLS+,—,Unisex,45–65,25,https://www.phatfour.com/fls,phatfour.com,,,,36.0,,470–630,250.0,,,,,,,,Bafang hub; opties per trim (FLX+ met Gates riem),"# Phatfour FLS+ — Fat-tire e-bike (470–630 Wh, 25 km/u)

**Kort overzicht**  
Voorzien van een naafmotor (250 W (EU)) voor vlotte stads- en recreatieritten. De geïntegreerde accu is 470–630 Wh. Fabrikant/retailer claimt tot ~45–65 km; praktijk hangt af van terrein, temperatuur, bandenspanning en rijstijl. EU-topsnelheid: 25 km/u (pedelec).

## Highlights
- **Soepele aandrijving:** naafmotor (250 W (EU)) met EU-begrenzing.
- **Energiepakket:** 470–630 Wh.
- **Actieradius (claim):** tot ~45–65 km (ideale omstandigheden).
- **Bijzonderheden:** Bafang hub; opties per trim (FLX+ met Gates riem).

## Specificaties
**E-systeem**
- Motor: naafmotor (250 W (EU))
- Accu: 470–630 Wh
- Ondersteuning: tot 25 km/u (EU)

## Prijs & beschikbaarheid (EU)
- Richtprijs (EU): €—

## Actieradius
**Actieradius (claim):** tot ~45–65 km (ideale omstandigheden; praktijk varieert).

## Wettelijke noot (NL/EU)
Deze fiets is een **pedelec** voor NL/EU: ondersteuning tot **25 km/u**, **max. 250 W** continu, **geen gashendel > 6 km/u**.

## Filters (voor jullie e-bike categorie)
- **Merk:** Phatfour
- **Model + versie:** Phatfour FLS+
- **Prijs:** €—
- **Actieradius:** ~45–65 km (claim)
- **Accucapaciteit:** 470–630 Wh
- **Topsnelheid:** 25 km/u (EU)
- **Heren/Dames:** Unisex

## Links
- **Waar te koop:** https://www.phatfour.com/fls
- **Bron(nen):** phatfour.com"
Phatfour,FLB+,—,Unisex,45–65,25,https://www.phatfour.com/flb,phatfour.com,,,,36.0,,470–630,250.0,,,,,,,,Bafang hub; opties per trim (FLX+ met Gates riem),"# Phatfour FLB+ — Fat-tire e-bike (470–630 Wh, 25 km/u)

**Kort overzicht**  
Voorzien van een naafmotor (250 W (EU)) voor vlotte stads- en recreatieritten. De geïntegreerde accu is 470–630 Wh. Fabrikant/retailer claimt tot ~45–65 km; praktijk hangt af van terrein, temperatuur, bandenspanning en rijstijl. EU-topsnelheid: 25 km/u (pedelec).

## Highlights
- **Soepele aandrijving:** naafmotor (250 W (EU)) met EU-begrenzing.
- **Energiepakket:** 470–630 Wh.
- **Actieradius (claim):** tot ~45–65 km (ideale omstandigheden).
- **Bijzonderheden:** Bafang hub; opties per trim (FLX+ met Gates riem).

## Specificaties
**E-systeem**
- Motor: naafmotor (250 W (EU))
- Accu: 470–630 Wh
- Ondersteuning: tot 25 km/u (EU)

## Prijs & beschikbaarheid (EU)
- Richtprijs (EU): €—

## Actieradius
**Actieradius (claim):** tot ~45–65 km (ideale omstandigheden; praktijk varieert).

## Wettelijke noot (NL/EU)
Deze fiets is een **pedelec** voor NL/EU: ondersteuning tot **25 km/u**, **max. 250 W** continu, **geen gashendel > 6 km/u**.

## Filters (voor jullie e-bike categorie)
- **Merk:** Phatfour
- **Model + versie:** Phatfour FLB+
- **Prijs:** €—
- **Actieradius:** ~45–65 km (claim)
- **Accucapaciteit:** 470–630 Wh
- **Topsnelheid:** 25 km/u (EU)
- **Heren/Dames:** Unisex

## Links
- **Waar te koop:** https://www.phatfour.com/flb
- **Bron(nen):** phatfour.com"
Phatfour,FLX,—,Unisex,Up to 100,25,https://www.phatfour.com/flx,phatfour.com,,,,36.0,,470–630,250.0,,,,,,,,Bafang hub; opties per trim (FLX+ met Gates riem),"# Phatfour FLX — Fat-tire e-bike (470–630 Wh, 25 km/u)

**Kort overzicht**  
Voorzien van een naafmotor (250 W (EU)) voor vlotte stads- en recreatieritten. De geïntegreerde accu is 470–630 Wh. Fabrikant/retailer claimt tot ~Up to 100 km; praktijk hangt af van terrein, temperatuur, bandenspanning en rijstijl. EU-topsnelheid: 25 km/u (pedelec).

## Highlights
- **Soepele aandrijving:** naafmotor (250 W (EU)) met EU-begrenzing.
- **Energiepakket:** 470–630 Wh.
- **Actieradius (claim):** tot ~Up to 100 km (ideale omstandigheden).
- **Bijzonderheden:** Bafang hub; opties per trim (FLX+ met Gates riem).

## Specificaties
**E-systeem**
- Motor: naafmotor (250 W (EU))
- Accu: 470–630 Wh
- Ondersteuning: tot 25 km/u (EU)

## Prijs & beschikbaarheid (EU)
- Richtprijs (EU): €—

## Actieradius
**Actieradius (claim):** tot ~Up to 100 km (ideale omstandigheden; praktijk varieert).

## Wettelijke noot (NL/EU)
Deze fiets is een **pedelec** voor NL/EU: ondersteuning tot **25 km/u**, **max. 250 W** continu, **geen gashendel > 6 km/u**.

## Filters (voor jullie e-bike categorie)
- **Merk:** Phatfour
- **Model + versie:** Phatfour FLX
- **Prijs:** €—
- **Actieradius:** ~Up to 100 km (claim)
- **Accucapaciteit:** 470–630 Wh
- **Topsnelheid:** 25 km/u (EU)
- **Heren/Dames:** Unisex

## Links
- **Waar te koop:** https://www.phatfour.com/flx
- **Bron(nen):** phatfour.com"
